CENTRE VILLE,Q1_1,Q1_1_A,Q1_1_B,Q1_1_C,Q1_2,Q1_2_A,Q1_2_B,Q1_3_C,Q2_1,Q2_2_1,Q2_2_2,Q2_3_1,Q2_3_2,Q2_3,Q2_4,Q2_5_1,Q2_5_2,Q2_6_1,Q2_6_2,Q3_1,Q3_2,Q3_3_1,Q3_3_2,Q4_1_A,Q4_1_B,Q4_2_A,Q4_2_B,Q4_3,Q4_4,Q4_4_AUTRES,Q5_1,Q5_2,Q5_3
Yaounde,Un quartier de la ville de Yaounde,NKOLBISSON,EBOUL ME MFOU,,Un quartier de la ville de Yaounde,CENTRE VILLE,VERS LA POSTE,,Par moto / moto taxi,NKOLBISSON,EBOULE ME MFOU,NKOLBISSON,CARREFOUR,Non,,,,,,Oui,Par taxi,CENTRE VILLE,AVANT LA POSTE,5,5 € 10 minutes,20,15 € 30 min,400,"Visite famille, amis",,Entre 55ans et 64 ans,Entre 100 001 et 300 000,Homme
Yaounde,Un quartier de la ville de Yaounde,MENDONG,NKOLNDZIE,,Un quartier de la ville de Yaounde,ACACIA,CARREFOUR ACACIA,,Par taxi,TEKC,CHAPPELLE TEKC,ACACIA,CARREFOUR ACACIA,Non,,,,,,Non,,,,10,10 € 20 minutes,180,Plus de 1heure,300,"Visite famille, amis",,Entre 55ans et 64 ans,Moins de 30 000,Homme
Yaounde,Un quartier de la ville de Yaounde,OYOM ABANG,CARREFOUR TSINI,,Un quartier de la ville de Yaounde,RUE FOE,DELEGATION REGIONAL EAU ET ENERGIE,,Par taxi,OYOM ABANG,CARREFOUR TSINI,POSTE CENTRALE,POSTE CENTRALE,Non,,,,,,Non,,,,5,5 € 10 minutes,5,Moins de 15 min,800,Travail,,Entre 45 et 54 ans,Entre 100 001 et 300 000,Homme
Yaounde,Un quartier de la ville de Yaounde,ETOUG EBE,CARREFOUR CITI,,Un quartier de la ville de Yaounde,LEBOUDI,ENTREE CHAPPELLE,,Par taxi,CENTRE HANDICAPE,CENTRE HANDICAPE,CARREFOUR MEEC,CARREFOUR MEEC,Non,,,,,,Non,,,,5,5 € 10 minutes,10,Moins de 15 min,800,Travail,,Entre 45 et 54 ans,Moins de 30 000,Femme
Yaounde,Un quartier de la ville de Yaounde,ETOA MEKI,FOYER BANJOUN ENTRE,,Un quartier de la ville de Yaounde,ETOA MEKI,FOYERBANJOUN,,Par taxi,ETOA MEKI,FOYERBANDJOUN,NLONGKAK,ROND POINT,Non,,,,,,Non,,,,2,Moins de 5 min,10,Moins de 15 min,200,Autres,Etudes,Moins de 18 ans,Moins de 30 000,Femme
Yaounde,Un quartier de la ville de Yaounde,OYOM ABANG,CAMP SONEL OYOM ABANGG,,Un quartier de la ville de Yaounde,ETOA,CARREFOUR ARAM,,Par taxi,MOKOLO,MOKOLO EN BAS,AHALA,BARRIERE AHALA,Oui,Par moto / moto taxi,OYOM ABANG,CAMP SONEL OYOM ABANGG,MOKOLO,MOKOLO EN BAS,Oui,Par moto / moto taxi,ETOA,ARAM,15,10 € 20 minutes,60,Plus de 1heure,900,Travail,,Entre 18 et 25 ans,Entre 30 001 et 100 000,Homme
Yaounde,Un quartier de la ville de Yaounde,NKOLANGA,IAI,,Un quartier de la ville de Yaounde,NKOLANGA,IAI,,Par taxi,MVOG ATANGANA MBALLA,CARREFOUR,EKOUNOU,CARREFOUR,Oui,Par taxi,EKOUNOU,CARREFOUR,NKOLANGA,IAI,Oui,Par taxi,NKOLANGA,IAI,15,10 € 20 minutes,45,30 € 60 min,400,"Visite famille, amis",,Entre 18 et 25 ans,Moins de 30 000,Femme
Yaounde,Un quartier de la ville de Yaounde,BATA NLONGKAK,COLLEGE ADVENTISTE,,Un quartier de la ville de Yaounde,TITI GARAGE,MAISON ROUGE,,A pied,,,,,Non,,,,,,Oui,Par taxi,TITI GARAGE,MAISON ROUGE,15,10 € 20 minutes,30,30 € 60 min,150,Autres,Etudes,Entre 18 et 25 ans,Moins de 30 000,Femme
Yaounde,Un quartier de la ville de Yaounde,CITE VERTE,DERRIERE YOYO BAR,,Un quartier de la ville de Yaounde,CITE VERTE,DERRIERE YOYOBAR,,Par moto / moto taxi,MBANKOLO,TRADEX,CITE VERTE,DERRIERE YOYO BAR,Non,,,,,,Non,,,,7,5 € 10 minutes,30,30 € 60 min,200,"Activites de loisirs, sportives,/ voyages",,Entre 18 et 25 ans,Entre 30 001 et 100 000,Homme
Yaounde,Un quartier de la ville de Yaounde,ETOUG EBE,KONDOUE,,Un quartier de la ville de Yaounde,EMANA,PONT EMANA,,Par moto / moto taxi,ETOUG EBE,KONDOUE,ETOUG EBE,CENTRE,Non,,,,,,Oui,Par taxi,EMANA,PONT EMANA,30,Plus de 20 minutes,60,Plus de 1heure,300,Autres,Etudes,Entre 18 et 25 ans,Entre 100 001 et 300 000,Femme
Yaounde,Un quartier de la ville de Yaounde,EFOULAN,GENGARMERIE,,Un quartier de la ville de Yaounde,EFOULAN,GERGARMERI,,Par taxi,ACACIA,CARREFOUR,EFOULAN,GENDAMERI,Non,,,,,,Non,,,,3,Moins de 5 min,10,Moins de 15 min,150,Autres,pour le marche,Moins de 18 ans,Entre 30 001 et 100 000,Femme
Yaounde,Un quartier de la ville de Yaounde,ETOUDI,ABATOIRE,,Un quartier de la ville de Yaounde,MBANKOLO,FEBE VILLAGGE,,Par moto / moto taxi,ETOUDI,ABATOIRE,ETOUDI,MARCHE,Non,,,,,,Non,,,,10,10 € 20 minutes,60,Plus de  1heure,650,"Visite famille, amis",,Entre 36 et 45 ans,Plus de 500 001,Femme
Yaounde,Un quartier de la ville de Yaounde,MVAN,OFFICE DU BAC,,Un quartier de la ville de Yaounde,EMMIA,CARREFOUR EMIA,,Par taxi,MVAN,TROPICANA,MVAN,CARREFOUR,Oui,Par taxi,MVAN,TROPICANA,MVAN,CARREFOUR,Non,,,,28,Plus de 20 minutes,30,30 € 60 min,300,"Visite famille, amis",,Entre 55ans et 64 ans,Entre 30 001 et 100 000,Femme
Yaounde,Un quartier de la ville de Yaounde,TSINGA,CENAT,,Un quartier de la ville de Yaounde,NKOLMESSENG,PETIT !TRE PARIS,,Par taxi,TSINGA,SENAT,POSTE CENTRALE,CATHEDRALE,Non,,,,,,Non,,,,10,10 € 20 minutes,60,Plus de 1heure,600,Autres,retour a la maison,Entre 26 et 35 ans,Moins de 30 000,Femme
Yaounde,Un quartier de la ville de Yaounde,ETOA,STATION BLESSING,,Un quartier de la ville de Yaounde,BARRIERE,TRADEX BARRIERE,,Par moto / moto taxi,ETOA,BLESSING ETOA,BARRIERE,TRADEX BARRIERE,Non,,,,,,Non,,,,15,10 € 20 minutes,10,Moins de 15 min,200,Travail,,Moins de 18 ans,Moins de 30 000,Homme
Yaounde,Un quartier de la ville de Yaounde,NKO NDONGO,AUBERGE DE LA PAIX DESCENTE DZOUE,,Un quartier de la ville de Yaounde,NKO NDONGO,AUBERGE DE LAPAIX DESCENTE DZOUE,,Par taxi,EKOUNOU,CARREFOUR,DESCENTE DZOUE,AU BERGE DE LA PAIX,Non,,,,,,Non,,,,10,10 € 20 minutes,30,30 € 60 min,300,Courses,,Entre 18 et 25 ans,Moins de 30 000,Femme
Yaounde,Un quartier de la ville de Yaounde,NSIMEYONG,CHAPPELLE NSIMEYONG,,Un quartier de la ville de Yaounde,SIMBOCK,ENTREE SIMBOCK,,Par taxi,NSIMEYONG,CHAPPELLE NSIMEYONG,SIMBOCK,ENTREE SIMBOCK,Non,,,,,,Non,,,,6,5 € 10 minutes,5,Moins de 15 min,200,Demarches administratives et/ou sante,,Entre 45 et 54 ans,Entre 300 001 et 500 000,Femme
Yaounde,Un quartier de la ville de Yaounde,AHALA,TERMINUS AHALA,,Un quartier de la ville de Yaounde,NGOUMOU,PONT BASCULE,,Par taxi,ODZA,TREMINUS,BARRIERE AHALA,TRADEX AHALA,Non,,,,,,Oui,Par taxi,NGOUMOU,PONT BASCULE,20,Plus de 20 minutes,25,15 € 30 min,250,"Activites de loisirs, sportives,/ voyages",,Entre 18 et 25 ans,Entre 30 001 et 100 000,Homme
Yaounde,Un quartier de la ville de Yaounde,EFOULAN,EFOULAN GENDARMERIE,,Un quartier de la ville de Yaounde,EFOULAN,EFOULAN GENDARMERIE,,Par taxi,EFOULAN,EFOULAN LYCEE,ACACIA,ACACIA VERS OBILI,Non,,,,,,Non,,,,5,5 € 10 minutes,5,Moins de 15 min,150,Autres,faire du marche,Entre 18 et 25 ans,Moins de 30 000,Homme
Yaounde,Un quartier de la ville de Yaounde,EKOUNOU,PALAIS DE JUSTICE,,Un quartier de la ville de Yaounde,ESSTIC,CARREFOUR ESSTIC,,A pied,,,,,Non,,,,,,Non,,,,40,Plus de 20 minutes,15,15 € 30 min,100,Autres,Etudes,Moins de 18 ans,Moins de 30 000,Homme
Yaounde,Un quartier de la ville de Yaounde,NGOUSSO,FANTA CITRON,,Un quartier de la ville de Yaounde,FANTA CITRON,CITRON,,Par taxi,NGOUSSO,TOTAL,MOBIL OMNISIPORT,MOBIL,Non,,,,,,Non,,,,45,Plus de 20 minutes,110,Plus de 1heure,300,Autres,Etudes,Entre 18 et 25 ans,Entre 30 001 et 100 000,Femme
Yaounde,Un quartier de la ville de Yaounde,AWAE ESCALIER,BCS,,Un quartier de la ville de Yaounde,NKOA MBANG,TRADEX NKOA MBANG,,A pied,,,,,Non,,,,,,Oui,Par taxi,NKOA MBANG,TRADEX,5,5 € 10 minutes,25,15 € 30 min,250,Travail,,Entre 18 et 25 ans,Entre 300 001 et 500 000,Homme
Yaounde,Un quartier de la ville de Yaounde,NKOZOA,CHAMP DE TIRE,,Un quartier de la ville de Yaounde,BARRIERE,CARREFOUR BARRIERE,,Par taxi,NKOZOA,CHAMP DE TIRE,MVAN,CAREFOUR,Non,,,,,,Non,,,,15,10 € 20 minutes,45,30 € 60 min,1000,Travail,,Entre 36 et 45 ans,Entre 300 001 et 500 000,Homme
Yaounde,Un quartier de la ville de Yaounde,CITE VERTE,MONTEE CARNAVAL,,Un quartier de la ville de Yaounde,CITE VERTE,MONTEE CARNAVAL,,Par taxi,CITE VERTE,MONTEE CARNAVAL,ETOUDI,MARCHE,Non,,,,,,Non,,,,10,10 € 20 minutes,45,30 € 60 min,500,Travail,,Entre 18 et 25 ans,Plus de 500 001,Femme
Yaounde,Un quartier de la ville de Yaounde,CITE VERTE,FACE HOPITAL,,Un quartier de la ville de Yaounde,MONATELE,LEBOUDI,,Un particulier,CITE VERTE,CAMPCITE,CARREFOURMEEC,CARREFOURMEEC,Non,,,,,,Oui,Par taxi,MONATELE,LEBOUDI,5,5 € 10 minutes,100,Plus de 1heure,400,Travail,,Entre 36 et 45 ans,Entre 30 001 et 100 000,Homme
Yaounde,Un quartier de la ville de Yaounde,ELIG ESSONO,MARIE COKER,,Un quartier de la ville de Yaounde,ELIG ESSONO,MARIE COKER,,Par taxi,CAMERCO,CARREFOUR CAMERCO,EMANA,BONNE FONTAINE,Non,,,,,,Non,,,,2,Moins de 5 min,40,30 € 60 min,500,"Visite famille, amis",,Entre 26 et 35 ans,Entre 30 001 et 100 000,Femme
Yaounde,Un quartier de la ville de Yaounde,NIOM,OFFICIER,,Un quartier de la ville de Yaounde,NIOM,OFFICIER,,Par taxi,NIOM,OFFICIER,MESSASSI,DISPENSAIRE,Non,,,,,,Non,,,,3,Moins de 5 min,12,Moins de 15 min,200,Courses,,Entre 26 et 35 ans,Entre 30 001 et 100 000,Homme
Yaounde,Un quartier de la ville de Yaounde,MESSASSI,NYOM CHATEAU,,Un quartier de la ville de Yaounde,ESSOS,CAN SONEL,,Par moto / moto taxi,MESSASSI,NYOM CHATEAU,MESSASSI,DISPENSAIRE,Non,,,,,,Non,,,,5,5 € 10 minutes,30,30 € 60 min,400,"Activites de loisirs, sportives,/ voyages",,Entre 18 et 25 ans,Moins de 30 000,Femme
Yaounde,Un quartier de la ville de Yaounde,TAM - TAM,MONTEE,,Un quartier de la ville de Yaounde,TAM - TAM,TAM,,A pied,,,,,Non,,,,,,Non,,,,3,Moins de 5 min,20,15 € 30 min,250,Autres,deuil,Entre 45 et 54 ans,Entre 100 001 et 300 000,Femme
Yaounde,Un quartier de la ville de Yaounde,AFANOYA,NKOLMESSIN,,Un quartier de la ville de Yaounde,NKOA MBANG,APRES BRIGADE,,Par moto / moto taxi,AFANOYA,NKOLMESSIN,BARRIERE,BARRIERE AHALA,Non,,,,,,Oui,Par taxi,NKOA MBANG,BRIGADE NKOAABAM,30,Plus de 20 minutes,60,Plus de  1heure,900,"Visite famille, amis",,Entre 45 et 54 ans,Entre 30 001 et 100 000,Femme
Yaounde,Un quartier de la ville de Yaounde,NKOM-KANA,2EME TOTAL,,Un quartier de la ville de Yaounde,FOURGEROLLES,YOKAFO,,Par moto / moto taxi,NKOM-KANA,2EME TOTAL,OMNISIPORT,MOBIL,Non,,,,,,Non,,,,5,5 € 10 minutes,30,30 € 60 min,600,Autres,Etudes,Entre 18 et 25 ans,Moins de 30 000,Homme
Yaounde,Un quartier de la ville de Yaounde,NKONDENGUI,DESCRNTE NKONDENGUI,,Un quartier de la ville de Yaounde,NKONDENGUI,DESCENTE,,Par moto / moto taxi,EKOUNOU,CARREFOUR,NKONDENGUI,DESCENTE,Non,,,,,,Non,,,,1,Moins de 5 min,10,Moins de 15 min,200,Demarches administratives et/ou sante,,Moins de 18 ans,Moins de 30 000,Homme
Yaounde,Un quartier de la ville de Yaounde,NKOL FOULOU,ENTREE WAGUEE,,Un quartier de la ville de Yaounde,NKOL FOULOU,ENTREE WAGUEE,,Par taxi,POSTE CENTRALE,CAMAIR,NGOA CHATEAU,CHATEAU,Oui,Par Cargo/ Mini Bus,ENTREE WAGUEE,NKOL FOULOU,POSTE CENTRALE,CAMAIR,Oui,Par Bus STACY,NKOL FOULOU,ENTREE WAGUEE,5,5 € 10 minutes,90,Plus de 1heure,550,"Visite famille, amis",,Entre 18 et 25 ans,Entre 100 001 et 300 000,Homme
Yaounde,Un quartier de la ville de Yaounde,NKOLMESSENG,DERRIERE LE LYCEE BILINGUE D'ESSOS,,Un quartier de la ville de Yaounde,BASTOS,CARREFOUR GOLF,,Par taxi,NKOLMESSENG,DERRIERE LE LYCEE BILINGUE,OMNISIPORT,TEXACO,Non,,,,,,Oui,Par taxi,BASTOS,CARREFOUR GOLF,5,5 € 10 minutes,45,30 € 60 min,500,Autres,Etudes,Moins de 18 ans,Entre 300 001 et 500 000,Femme
Yaounde,Un quartier de la ville de Yaounde,ELEVEUR,BETHANIE,,Un quartier de la ville de Yaounde,CENTRE VILLE,INSPECTION DU TRAVAIL,,Par moto / moto taxi,ELEVEUR,BETHANIE,ELEVEUR,CARREFOUR,Non,,,,,,Oui,Par taxi,CENTRE VILLE,INSPECTIONDU TRAVAIL,15,10 € 20 minutes,30,30 € 60 min,300,Demarches administratives et/ou sante,,Entre 18 et 25 ans,Moins de 30 000,Femme
Yaounde,Un quartier de la ville de Yaounde,NKOA MBANG,AKOUADE,,Un quartier de la ville de Yaounde,NKOLGONE,OFEBE VILLAGE,,Par moto / moto taxi,MBANKOLO,CARREFOUR,NKOLGONE,OFEBE,Non,,,,,,Non,,,,60,Plus de 20 minutes,15,15 € 30 min,1000,Travail,,Entre 36 et 45 ans,Entre 30 001 et 100 000,Homme
Yaounde,Un quartier de la ville de Yaounde,MEYO,CHAPEL MEYO,,Un quartier de la ville de Yaounde,NGOA EKELLE,PERCEPTION,,Par moto / moto taxi,MEYO,CHAPEL MEYO,BARRIERE,CARREFOUR,Non,,,,,,Oui,Par taxi,MVOG ADA,CHAPELLE,25,Plus de 20 minutes,100,Plus de  1heure,900,Travail,,Entre 45 et 54 ans,Entre 300 001 et 500 000,Homme
Yaounde,Un quartier de la ville de Yaounde,ETOA MEKI,FOYE BANDJOUM,,Un quartier de la ville de Yaounde,ETOA MEKI,FOYE BENDJOUM,,Par taxi,EKOUNOU,CARREFOUR,ETOA MEKI,FOYE BAMDJOUME,Non,,,,,,Non,,,,20,Plus de 20 minutes,35,30 € 60 min,600,"Visite famille, amis",,Entre 36 et 45 ans,Entre 100 001 et 300 000,Homme
Yaounde,Un quartier de la ville de Yaounde,MFOU,MENDONG 2,,Un quartier de la ville de Yaounde,MFOU,MENDONG 2,,Par taxi,MFOU,MENDONG 2,AWAE ESCALIER,CARREFOUR,Non,,,,,,Oui,Par taxi,MFOU,MENDONG 2,1,Moins de 5 min,10,Moins de 15 min,600,Travail,,Entre 36 et 45 ans,Entre 30 001 et 100 000,Femme
Yaounde,Un quartier de la ville de Yaounde,ETOA AHALA,ETOA,,Un quartier de la ville de Yaounde,POSTE CENTRALE,SONEL CENTRAL,,Par moto / moto taxi,ETOA,CARREFOUR,BARRIERE,CARREFOUR,Non,,,,,,Oui,Par taxi,POSTE CENTRALE,SONEL,15,10 € 20 minutes,30,30 € 60 min,500,Travail,,Entre 36 et 45 ans,Plus de 500 001,Homme
Yaounde,Un quartier de la ville de Yaounde,ETOUG EBE,ETOUG EBE,,Un quartier de la ville de Yaounde,KOLBIKI,KOLBIKO,,Par moto / moto taxi,KOLBIKO,KOLBIKO,ETOUG EBE,ETOUG EBE,Non,,,,,,Non,,,,6,5 € 10 minutes,25,15 € 30 min,200,Autres,Etudes,Moins de 18 ans,Moins de 30 000,Femme
Yaounde,Un quartier de la ville de Yaounde,CITE VERTE,MONTEE CARNAVALE,,Un quartier de la ville de Yaounde,CARREFOUR MEEC,CARREFOR,,Par taxi,CITER VERTE,MONTE CARNAVALR,CARREFOUR MEEC,CARREFOUR,Non,,,,,,Non,,,,20,Plus de 20 minutes,20,15 € 30 min,208,"Visite famille, amis",,Entre 18 et 25 ans,Entre 30 001 et 100 000,Homme
Yaounde,Un quartier de la ville de Yaounde,ETOUG EBE,CENTRE DES HANDICAPES DE ETOUG EBE,,Un quartier de la ville de Yaounde,MONASTER,MONASTER,,A pied,,,,,Non,,,,,,Oui,Par taxi,MONASTER,MONASTER,35,Plus de 20 minutes,45,30 € 60 min,1000,"Visite famille, amis",,Entre 45 et 54 ans,Entre 300 001 et 500 000,Homme
Yaounde,Un quartier de la ville de Yaounde,OBOBOGO,AVANT RAIL,,Un quartier de la ville de Yaounde,AFANOYA,TROISIEME,,Par moto / moto taxi,OBOBOGO,AVANT RAIL,NSAM,CARREFOUR,Non,,,,,,Non,,,,20,Plus de 20 minutes,30,30 € 60 min,500,"Visite famille, amis",,Entre 36 et 45 ans,Entre 30 001 et 100 000,Femme
Yaounde,Un quartier de la ville de Yaounde,OYOM ABANG,MONGONNANG CHEFERI,,Un quartier de la ville de Yaounde,CETIC DE NGOA EKELLE,CETIC,,Par taxi,CHEFERI,MONGONNANG,CARREFOUR MEEC,CARREFOUR MEEC,Non,,,,,,Non,,,,15,10 € 20 minutes,15,15 € 30 min,150,Courses,,Entre 18 et 25 ans,Moins de 30 000,Femme
Yaounde,Un quartier de la ville de Yaounde,WARDA,COLLEGE LA RETRAITE,,Un quartier de la ville de Yaounde,MBALLA,ELEVEUR,,Par taxi,WARDA,COLLEGELA RETRAITE,OMNISIPORT,MOBIL,Non,,,,,,Oui,Par moto / moto taxi,MBALLA,ELEVEUR,30,Plus de 20 minutes,45,30 € 60 min,1000,"Activites de loisirs, sportives,/ voyages",,Entre 18 et 25 ans,Entre 30 001 et 100 000,Femme
Yaounde,Un quartier de la ville de Yaounde,ETOA,CARREFOUR ETOA,,Un quartier de la ville de Yaounde,MVAN,CARREFOUR MVAN,,Par moto / moto taxi,ETOA,CARREFOUR ETOA,BARRIERE,CARREFOUR BARRIERE,Non,,,,,,Oui,Par taxi,MVAN,CARREFOUR MVAN,15,10 € 20 minutes,25,15 € 30 min,500,"Activites de loisirs, sportives,/ voyages",,Entre 45 et 54 ans,Entre 300 001 et 500 000,Femme
Yaounde,Un quartier de la ville de Yaounde,MVOG ADA,MONTESKIEU,,Un quartier de la ville de Yaounde,RUE CEPER,CEPER,,Par taxi,MVOG ADA,MONTESKIEU,POSTE CENTRALE,CATHRDRALE,Non,,,,,,Non,,,,15,10 € 20 minutes,45,30 € 60 min,300,Demarches administratives et/ou sante,,Entre 26 et 35 ans,Entre 30 001 et 100 000,Femme
Yaounde,Un quartier de la ville de Yaounde,ETOA,MONTEE BIYEME,,Un quartier de la ville de Yaounde,MELEN,HOPITAL CHU,,Par moto / moto taxi,ETOA,MONTEE BIYEME,AHALA,TRADEX,Non,,,,,,Oui,Par taxi,MELEN,CHU,15,10 € 20 minutes,20,15 € 30 min,400,"Visite famille, amis",,Entre 45 et 54 ans,Entre 100 001 et 300 000,Femme
Yaounde,Un quartier de la ville de Yaounde,OLEMBE,CARRIERE OLEMBE,,Un quartier de la ville de Yaounde,ETOUDI,APRES LA MOSQUE,,Par taxi,OLEMBE,DEPOT DE SABLE,EMANA,BONNE FONTAINE,Non,,,,,,Oui,Par taxi,ETOUDI,APRES LA MOSQUEE,5,5 € 10 minutes,15,15 € 30 min,400,"Visite famille, amis",,Entre 18 et 25 ans,Moins de 30 000,Femme
Yaounde,Un quartier de la ville de Yaounde,SANTA BARBARA,FAETE,,Un quartier de la ville de Yaounde,EMIA,POLITEC,,Par taxi,EMANA,FAELE,MARCHE ETOUDI,CARREFOUR,Non,,,,,,Non,,,,10,10 € 20 minutes,15,15 € 30 min,250,Autres,Etudes,Entre 18 et 25 ans,Entre 30 001 et 100 000,Homme
Yaounde,Un quartier de la ville de Yaounde,BRIQUETERIE,SECTEUR APPAREIL,,Un quartier de la ville de Yaounde,WARDA,CHAMPANZE,,Par taxi,BRIQUETERIE,SECTEUR APPAREIL,POSTE CENTRALE,CENTRAL,Non,,,,,,Non,,,,30,Plus de 20 minutes,105,Plus de 1heure,500,Travail,,Entre 36 et 45 ans,Entre 100 001 et 300 000,Homme
Yaounde,Un quartier de la ville de Yaounde,ACACIA,CAMP CITE,,Un quartier de la ville de Yaounde,JOUVENCE,SAPIN,,A pied,,,,,Non,,,,,,Oui,Par moto / moto taxi,JOUVENCE,SAPIN,2,Moins de 5 min,1,Moins de 15 min,100,Autres,Etudes,Moins de 18 ans,Moins de 30 000,Femme
Yaounde,Un quartier de la ville de Yaounde,CORON,APRES SIANTOU,,Un quartier de la ville de Yaounde,EMOMBO,PREMIER CARREFOUR,,Par moto / moto taxi,CORON,APRES SIANTOU,EKOUNOU,CARREFOUR,Non,,,,,,Non,,,,5,5 € 10 minutes,28,15 € 30 min,100,"Activites de loisirs, sportives,/ voyages",,Entre 26 et 35 ans,Entre 30 001 et 100 000,Homme
Yaounde,Un quartier de la ville de Yaounde,ELIG NKOLO,CARREFOUR,,Un quartier de la ville de Yaounde,BARRIERE,AVANT CARREFOUR,,Par moto / moto taxi,ELIG NKOLO,CARREFOUR,MVAN,TOTAL,Non,,,,,,Oui,Par taxi,BARRIERE,AVANT LE CARREFOUR,20,Plus de 20 minutes,15,15 € 30 min,100,Travail,,Moins de 18 ans,Moins de 30 000,Homme
Yaounde,Un quartier de la ville de Yaounde,OMNISIPORT,COLLEGE DE L'ESPERANCE,,Un quartier de la ville de Yaounde,COLMESING,SOUPREFECTURE,,Par moto / moto taxi,SOUPREFECTURE,KOLMESING,OMNISIPORT,ESPERANCE,Non,,,,,,Non,,,,10,10 € 20 minutes,20,15 € 30 min,300,Autres,Etudes,Moins de 18 ans,Entre 30 001 et 100 000,Femme
Yaounde,Un quartier de la ville de Yaounde,ACACIA,DERRIERE ECOLE,,Un quartier de la ville de Yaounde,SCALOM,OXFORD,,A pied,,,,,Non,,,,,,Non,,,,2,Moins de 5 min,10,Moins de 15 min,150,Autres,Etudes,Moins de 18 ans,Entre 100 001 et 300 000,Femme
Yaounde,Un quartier de la ville de Yaounde,TKC,NESCAS,,Un quartier de la ville de Yaounde,SIMBOCK,ENTREE DES SОURS,,Par taxi,TKC,NESCAS,SIMBOCK,ENTREE,Non,,,,,,Oui,Par moto / moto taxi,SIMBOCK,ENTREE DES SОURS,5,5 € 10 minutes,15,15 € 30 min,200,Autres,Etudes,Moins de 18 ans,Entre 30 001 et 100 000,Homme
Yaounde,Un quartier de la ville de Yaounde,TONGOLO,TONGOLO ANCIEN BINAM,,Un quartier de la ville de Yaounde,TONGOLO,ANCIEN BINAM,,Par taxi,TONGOLO,ANCIEN BINAM,MOKOLO,NIKI MOKOLO,Non,,,,,,Oui,Par moto / moto taxi,TONGOLO,ANCIEN BINAM,1,Moins de 5 min,30,30 € 60 min,1500,Travail,,Entre 45 et 54 ans,Entre 30 001 et 100 000,Homme
Yaounde,Un quartier de la ville de Yaounde,BARRIERE,BELINGA EBOUNTOU,,Un quartier de la ville de Yaounde,MVOLYE,COLLEGE BENOIT,,Par moto / moto taxi,BARRIERE,BELINGA EBOUTOU,BARRIERE,TRADEX,Non,,,,,,Oui,Par taxi,MVOLYE,COLLEGE BENOIT,15,10 € 20 minutes,30,30 € 60 min,250,Autres,Etudes,Moins de 18 ans,Entre 100 001 et 300 000,Femme
Yaounde,Un quartier de la ville de Yaounde,MENDONG,NKOLISSEU,,Un quartier de la ville de Yaounde,SIMBOCK,JEAN JAURESSE,,Par moto / moto taxi,MENDONG,NKOLISSEU,SIMBOCK,ENTR! SIMBOCK,Non,,,,,,Oui,Par moto / moto taxi,SIMBOCK,JEAN JAURESSE,5,5 € 10 minutes,15,15 € 30 min,250,Travail,,Entre 45 et 54 ans,Entre 100 001 et 300 000,Homme
Yaounde,Un quartier de la ville de Yaounde,EYEGUE,ROND POINT MESSAMMEDONGO,,Un quartier de la ville de Yaounde,EKOUNOU,NKOMO,,Par taxi,MESSAMMEDONGO,CARREFOUR NVOGABAN,APRES LE ROND POINT ECOUNOU,APRES LE COPMMISSARIAT,Non,,,,,,Non,,,,5,5 € 10 minutes,5,Moins de 15 min,150,Travail,,Entre 26 et 35 ans,Entre 30 001 et 100 000,Homme
Yaounde,Un quartier de la ville de Yaounde,NSIMALEN,AEROPORT,,Un quartier de la ville de Yaounde,NKOLBISSON,CARREFOUR TIMI,,Par taxi,AEROGARD,NSIMALEN,POSTE CENTRALE,CENTRAL,Non,,,,,,Oui,Par taxi,NKOLBISSON,CARREFOURTIMI,2,Moins de 5 min,60,Plus de 1heure,700,Travail,,Entre 18 et 25 ans,Entre 30 001 et 100 000,Homme
Yaounde,Un quartier de la ville de Yaounde,BARRIERE,DOS D'ANE,,Un quartier de la ville de Yaounde,CARRIERE,JEAN VESPA,,A pied,,,,,Non,,,,,,Oui,Par taxi,CARRIERE,JEAN VESPA,15,10 € 20 minutes,45,30 € 60 min,1000,Travail,,Entre 45 et 54 ans,Entre 100 001 et 300 000,Homme
Yaounde,Un quartier de la ville de Yaounde,AFANOYA,CARREFOUR AFANOYOA,,Un quartier de la ville de Yaounde,MVOG MBI,MARCHE MVOG MBI,,Par moto / moto taxi,AFANOYA,CARREFOUR AFANOYOA,BARRIERE AHALA,EXPRESS UNION AHALA,Non,,,,,,Oui,Par taxi,MVOG MBI,MARCHE VOGT BI,45,Plus de 20 minutes,25,15 € 30 min,550,Courses,,Entre 18 et 25 ans,Moins de 30 000,Homme
Yaounde,Un quartier de la ville de Yaounde,CENTRE VILLE,ORANGE AVENUE KENNEDY,,Un quartier de la ville de Yaounde,NGOUSSO,CARAVEL,,A pied,,,,,Non,,,,,,Non,,,,5,5 € 10 minutes,60,Plus de 1heure,250,Autres,retour a la maison,Entre 18 et 25 ans,Moins de 30 000,Femme
Yaounde,Un quartier de la ville de Yaounde,NKOLMESSENG,NOUNOUS,,Un quartier de la ville de Yaounde,NKOLMESSENG,NOUNOUS,,Par taxi,MESSASSI,DISPENSAIRE,KONMESSEKN,NKONMESSEIN,Non,,,,,,Non,,,,25,Plus de 20 minutes,45,30 € 60 min,300,"Visite famille, amis",,Entre 18 et 25 ans,Entre 30 001 et 100 000,Femme
