age,occup,gender,origlat,origlon,destlat,destlon,purp,vehic,freqpweek,OD_dist,travtime,reason,own_car,own_motob,own_ebike,own_bike,freq_car,freq_motob,freq_ebike,freq_bike,freq_taxi,freq_bus,school_acc,market_acc,hosp_acc,bank_acc,leis_acc,type,status,own,reas_not_car,reas_not_motob,reas_not_ebike,reas_not_bike,dist_to_pub,aware_ban,fut_veh,alt_veh,alt_car,alt_ebike,alt_bike,alt_bus,alt_ltrain,alt_taxi,alt_walk,opinion_car,opinion_motob,opinion_ebike,opinion_bike,opinion_taxi,opinion_bus,opinion_ban
less_18,student,female,21.034435,105.793839,21.035068,105.784284,education,ebike,14_16,0.994164121,22,convinient timesaving,1,2,1,3,,,more_20,,,,good,good,good,good,good,high_rise,permanent,parent_house,cost,jam,slow,slow,300,no,moto,car ebike bike lighttrain taxi walk,1,1,1,0,1,1,1,verygood,verygood,good,good,good,bad,neutral
36_55,private,male,21.027464,105.829153,21.027367,105.828638,visit,moto,1_3,0.054529473,7,other,1,3,2,more_5,,,,,,,,,,,,old_building,permanent,owner,parking,unsafe,jam,slow,350,donotcare,no,car ebike lighttrain taxi,1,1,0,0,1,1,0,verygood,verygood,verygood,good,neutral,neutral,strongdisagree
56_75,retired,female,21.093706,105.78189,21.093723,105.782626,caring,walk,14_16,0.076379166,5,convinient timesaving,0,4,0,0,,more_20,,,,,neutral,neutral,neutral,good,neutral,private_house,permanent,owner,cost,jam,unsafe,slow,600,no,car,car ebike taxi,1,1,0,0,0,1,0,good,good,neutral,neutral,neutral,neutral,disagree
56_75,student,male,21.03585,105.913962,21.037452,105.91641,leisure,taxi,4_7,0.310290375,6,timesaving,1,1,1,2,,,,,,,,,,,,high_rise,short_stay,rent,parking,parking,parking,parking,56,no,moto,bus,0,0,0,1,0,0,0,bad,neutral,neutral,bad,bad,bad,neutral
18_25,student,female,21.01628,105.853304,21.023925,105.856159,education,ebike,14_16,0.900256849,20,timesaving,0,more_5,1,3,,more_20,,11_15,1_5,,good,very_good,good,neutral,good,old_building,permanent,parent_house,cost,jam,jam,slow,650,no,no,car ebike taxi,1,1,0,0,0,1,0,verygood,verygood,good,good,good,bad,disagree
56_75,retired,male,21.041183,105.810329,20.98952,105.795733,visit,bus,1_3,5.94109706,70,cost convinient,1,1,0,0,,,,,,1_5,good,good,good,good,good,private_house,permanent,owner,cost,unsafe,unsafe,unsafe,710,donotcare,no,bike,0,0,1,0,0,0,0,neutral,neutral,neutral,neutral,neutral,good,agree
56_75,fdi,female,21.017391,105.844137,21.017568,105.847401,caring,taxi,4_7,0.339365937,4,timesaving,0,1,2,2,,,,,,,,,,,,old_building,long_stay,rent,parking,parking,parking,parking,45,donotcare,bike,bike bus,0,0,1,1,0,0,0,bad,bad,bad,bad,bad,bad,disagree
36_55,retired,male,21.045854,105.77611,21.023627,105.737057,visit,ebike,4_7,4.747246237,16,other,0,3,3,3,,,more_20,,,,,,,,,high_rise,permanent,parent_house,jam,jam,jam,jam,168,no,ebike,ebike bike lighttrain,0,1,1,0,1,0,0,neutral,neutral,neutral,neutral,neutral,bad,disagree
56_75,retired,male,21.044541,105.779763,21.003594,105.9156,caring,car,4_7,14.81586604,45,convinient,3,3,3,1,,,,,,,,,,,,private_new,permanent,owner,parking,parking,slow,slow,250,donotcare,no,car,1,0,0,0,0,0,0,good,neutral,good,neutral,good,neutral,neutral
more_75,retired,female,21.03387,105.850248,21.033672,105.850751,shopping,walk,1_3,0.05665713,8,convinient,1,4,0,2,,,,6_10,,,neutral,good,good,neutral,good,private_house,permanent,owner,jam,jam,jam,slow,600,yes,no,bike lighttrain walk,0,0,1,0,1,0,1,good,good,neutral,good,neutral,neutral,agree
56_75,retired,female,21.035759,105.848128,21.030867,105.846821,shopping,bike,11_13,0.560624723,12,convinient,0,more_5,0,3,,6_10,,11_15,,,neutral,neutral,good,bad,neutral,private_house,permanent,owner,cost,jam,jam,slow,600,yes,no,car ebike bike walk,1,1,1,0,0,0,1,verygood,good,good,verygood,neutral,neutral,disagree
less_18,student,female,21.069855,105.792923,21.072446,105.796351,education,walk,11_13,0.457733805,8,convinient,1,2,1,4,1_5,6_10,,more_20,,,good,good,neutral,neutral,good,high_rise,permanent,parent_house,cost,jam,slow,slow,700,no,ebike,car ebike bike taxi walk,1,1,1,0,0,1,1,good,good,good,neutral,good,neutral,disagree
more_75,retired,female,20.966332,105.796015,20.96929,105.792414,shopping,walk,1_3,0.497981401,7,convinient timesaving,0,0,0,2,,,,1_5,,,neutral,good,neutral,neutral,good,private_house,permanent,owner,jam,jam,unsafe,slow,700,yes,no,bike walk,0,0,1,0,0,0,1,good,good,neutral,good,neutral,neutral,agree
56_75,retired,female,21.022695,105.862166,21.020673,105.856038,shopping,bike,8_10,0.674621625,15,convinient timesaving,0,more_5,0,3,,6_10,,11_15,,,neutral,neutral,good,bad,neutral,private_house,permanent,owner,cost,jam,jam,slow,600,yes,no,car ebike bike walk,1,1,1,0,0,0,1,verygood,good,good,verygood,neutral,neutral,disagree
36_55,retired,female,20.948595,105.823059,21.074719,105.777519,leisure,moto,1_3,14.79961542,23,other,1,3,3,3,,,,,,,,,,,,old_building,permanent,parent_house,cost,jam,jam,jam,500,yes,no,taxi,0,0,0,0,0,1,0,bad,bad,bad,neutral,neutral,neutral,strongagree
less_18,student,female,21.0288,105.845083,21.027347,105.844266,education,ebike,11_13,0.182466893,13,cost convinient timesaving,1,3,1,3,1_5,,more_20,1_5,,,good,good,neutral,neutral,good,private_house,permanent,parent_house,jam,jam,jam,slow,600,no,moto,car ebike bike taxi,1,1,1,0,0,1,0,good,good,good,neutral,good,neutral,disagree
56_75,retired,female,21.036795,105.855896,21.032962,105.850993,visit,bike,8_10,0.663772133,14,convinient,0,more_5,0,3,,6_10,,11_15,,,neutral,neutral,good,bad,neutral,private_house,permanent,owner,cost,jam,jam,slow,600,yes,no,car ebike bike walk,1,1,1,0,0,0,1,verygood,good,good,verygood,neutral,neutral,disagree
56_75,fdi,male,21.034953,105.784786,21.035634,105.786118,education,taxi,8_10,0.157622494,4,timesaving,0,2,2,0,,,,,,,,,,,,private_new,long_stay,rent,parking,parking,jam,jam,543,donotcare,ebike,bus,0,0,0,1,0,0,0,bad,neutral,neutral,neutral,bad,bad,neutral
more_75,retired,female,21.042838,105.877733,21.0517,105.888244,shopping,bike,1_3,1.469990388,7,convinient timesaving,1,3,1,2,,,,6_10,,,good,good,neutral,neutral,good,private_house,permanent,owner,jam,jam,jam,slow,400,yes,no,bike walk,0,0,1,0,0,0,1,good,good,neutral,good,neutral,neutral,agree
less_18,student,female,21.059188,105.899913,21.059548,105.890692,education,ebike,8_10,0.957683774,8,convinient timesaving,1,3,1,2,,1_5,16_20,,,,good,good,good,neutral,good,private_house,permanent,parent_house,jam,jam,slow,slow,400,no,moto,car ebike taxi walk,1,1,0,0,0,1,1,verygood,verygood,good,good,good,neutral,disagree
more_75,retired,female,20.992633,105.888025,20.995204,105.881161,shopping,bike,4_7,0.767786527,10,convinient timesaving,1,4,0,2,,,,11_15,,,neutral,neutral,good,neutral,good,private_house,permanent,owner,cost,jam,jam,slow,300,yes,no,bike walk,0,0,1,0,0,0,1,good,good,neutral,good,neutral,neutral,agree
more_75,retired,female,21.066119,105.780187,21.072438,105.780616,visit,walk,4_7,0.70405044,10,timesaving,0,2,0,0,,,,,,,,,,,,social_house,permanent,morgate,jam,jam,jam,jam,450,yes,moto,bike bus lighttrain,0,0,1,1,1,0,0,verybad,verybad,bad,bad,verybad,verybad,strongagree
more_75,retired,female,21.03359,105.831881,21.029125,105.833783,shopping,bike,4_7,0.534291052,12,convinient timesaving,0,4,0,1,,,,1_5,,,neutral,neutral,good,good,good,private_house,permanent,owner,parking,jam,unsafe,slow,800,yes,no,bike walk,0,0,1,0,0,0,1,verygood,good,neutral,good,neutral,neutral,agree
56_75,retired,male,20.97803,105.796233,20.98964,105.789556,visit,bike,1_3,1.465318739,16,other,0,3,2,2,,,,,,,,,,,,old_building,permanent,owner,jam,jam,jam,jam,500,donotcare,no,walk,0,0,0,0,0,0,1,neutral,neutral,neutral,neutral,neutral,neutral,strongdisagree
26_35,private,female,21.068437,105.896928,21.068882,105.897356,education,moto,8_10,0.066488352,3,cost other,2,4,3,1,,,,,,,,,,,,old_building,permanent,owner,parking,unsafe,unsafe,slow,7510,yes,car,car ebike taxi,1,1,0,0,0,1,0,verygood,verygood,verygood,good,good,neutral,strongdisagree
more_75,retired,female,21.030332,105.833969,21.034118,105.82875,leisure,bike,4_7,0.68602416,12,cost convinient,0,4,0,1,,,,1_5,,,neutral,neutral,good,good,good,private_house,permanent,owner,parking,jam,unsafe,slow,800,yes,no,bike walk,0,0,1,0,0,0,1,verygood,good,neutral,good,neutral,neutral,agree
56_75,retired,male,20.870963,105.861982,20.87461,105.672082,work,car,8_10,19.73435629,40,timesaving,3,2,3,1,,,,,,,,,,,,high_rise,permanent,parent_house,parking,parking,slow,slow,250,donotcare,no,car,1,0,0,0,0,0,0,bad,bad,bad,bad,bad,bad,disagree
56_75,retired,female,21.069803,105.897668,21.070814,105.904394,caring,bike,4_7,0.706890051,21,other,1,4,0,2,,,,,,,,,,,,old_building,permanent,owner,parking,cost,slow,slow,1000,donotcare,car,bike walk,0,0,1,0,0,0,1,good,good,neutral,good,verygood,neutral,neutral
more_75,retired,female,21.037854,105.851962,21.03617,105.850037,leisure,walk,1_3,0.273819458,10,cost convinient,1,4,0,2,,,,6_10,,,neutral,good,good,neutral,good,private_house,permanent,owner,jam,jam,jam,slow,600,yes,no,bike lighttrain walk,0,0,1,0,1,0,1,good,good,neutral,good,neutral,neutral,agree
56_75,retired,male,21.039911,105.840311,21.040351,105.839539,work,ebike,4_7,0.093876834,16,cost,0,1,3,3,,,,,,,neutral,good,good,neutral,good,private_house,permanent,parent_house,cost,unsafe,slow,slow,150,yes,moto,ebike bike lighttrain,0,1,1,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
more_75,retired,female,21.027003,105.816713,20.977198,105.788083,visit,bus,1_3,6.285155552,120,convinient,0,2,0,0,,,,,,,good,good,good,good,good,private_house,permanent,parent_house,jam,unsafe,unsafe,slow,300,donotcare,no,bus,0,0,0,1,0,0,0,neutral,neutral,neutral,good,good,good,strongagree
56_75,retired,male,20.998605,105.737915,21.005706,105.731049,education,walk,4_7,1.063705627,20,other,2,3,3,3,,,,,,,,,,,,private_new,permanent,parent_house,jam,jam,slow,slow,800,donotcare,no,walk,0,0,0,0,0,0,1,neutral,neutral,neutral,neutral,neutral,neutral,agree
more_75,retired,female,20.953226,105.774992,20.959009,105.783662,shopping,bike,1_3,1.106358951,12,convinient timesaving,0,0,0,2,,,,1_5,,,neutral,good,neutral,neutral,good,private_house,permanent,owner,jam,jam,unsafe,slow,700,yes,no,bike walk,0,0,1,0,0,0,1,good,good,neutral,good,neutral,neutral,agree
more_75,retired,female,21.027141,105.844589,21.028679,105.844844,visit,bike,4_7,0.173053904,8,convinient timesaving other,1,4,0,2,,,,6_10,,,neutral,good,good,neutral,good,private_house,permanent,owner,jam,jam,jam,slow,600,yes,no,bike lighttrain walk,0,0,1,0,1,0,1,good,good,neutral,good,neutral,neutral,agree
56_75,fdi,male,20.958145,105.763155,20.957537,105.76745,leisure,ebike,11_13,0.451083005,4,timesaving,1,1,2,2,,,,,,,,,,,,old_building,short_stay,parent_house,jam,jam,jam,jam,45,no,ebike,lighttrain,0,0,0,0,1,0,0,neutral,neutral,good,good,good,good,agree
56_75,retired,female,21.018022,105.789361,21.017381,105.795889,shopping,bike,4_7,0.681326952,12,cost convinient timesaving other,0,4,1,2,,,,more_20,,,neutral,good,good,neutral,good,private_house,permanent,owner,cost,jam,unsafe,slow,600,yes,no,car ebike bike walk,1,1,1,0,0,0,1,good,good,good,good,neutral,neutral,agree
more_75,retired,male,21.036171,105.811381,21.037163,105.836438,leisure,bus,1_3,2.602855217,40,cost,0,2,0,1,,,,,,1_5,good,good,very_good,neutral,good,private_house,permanent,owner,jam,unsafe,unsafe,slow,600,yes,no,car bus walk,1,0,0,1,0,0,1,neutral,neutral,neutral,good,good,good,strongagree
36_55,fdi,male,21.035733,105.808662,21.034212,105.790728,work,car,8_10,1.868952468,35,timesaving,3,4,3,2,,,,,,,,,,,,private_house,permanent,owner,jam,jam,slow,slow,100,yes,no,car lighttrain,1,0,0,0,1,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
26_35,state,female,20.99734,105.816857,21.012845,105.835559,work,bike,1_3,2.596422452,20,convinient,3,3,3,3,,,,,,,,,,,,private_house,permanent,parent_house,cost,cost,cost,cost,500,yes,ebike,bike,0,0,1,0,0,0,0,verybad,verybad,verybad,verybad,verybad,verybad,agree
56_75,fdi,male,21.028127,105.830191,21.031708,105.827443,leisure,bike,4_7,0.48979648,245,timesaving,0,1,2,0,,,,,,,,,,,,high_rise,short_stay,parent_house,parking,parking,cost,cost,3456,donotcare,bike,lighttrain,0,0,0,0,1,0,0,bad,neutral,neutral,bad,verybad,bad,agree
less_18,student,female,21.029527,105.837706,21.015542,105.836769,education,ebike,8_10,1.55810172,12,convinient timesaving other,1,3,1,3,1_5,,more_20,1_5,,,good,good,neutral,neutral,good,private_house,permanent,parent_house,jam,jam,jam,slow,300,no,moto,car ebike bike taxi,1,1,1,0,0,1,0,good,good,good,neutral,good,neutral,disagree
less_18,student,female,20.93264,105.74359,20.932079,105.74243,caring,taxi,8_10,0.135665788,45,convinient,0,1,1,1,,,,,,,,,,,,social_house,long_stay,morgate,parking,parking,parking,parking,345,donotcare,ebike,ebike,0,1,0,0,0,0,0,bad,neutral,neutral,neutral,neutral,good,neutral
less_18,student,female,21.073361,105.798756,21.072461,105.795554,education,walk,14_16,0.34698072,5,cost convinient,1,2,1,4,1_5,6_10,,more_20,,,good,good,neutral,neutral,good,high_rise,permanent,parent_house,cost,jam,slow,slow,700,no,ebike,car ebike bike taxi walk,1,1,1,0,0,1,1,good,good,good,neutral,good,neutral,disagree
more_75,retired,male,21.076531,105.819616,21.077965,105.814525,visit,bike,1_3,0.551763019,12,convinient,1,4,0,3,,,,more_20,,,good,good,neutral,good,neutral,old_building,permanent,owner,jam,jam,jam,slow,600,yes,no,bike walk,0,0,1,0,0,0,1,good,good,good,verygood,neutral,good,agree
56_75,retired,male,20.900671,105.56488,20.904392,105.577326,work,taxi,1_3,1.357450102,23,other,1,3,2,2,,,,,,,,,,,,high_rise,permanent,owner,jam,jam,slow,slow,400,yes,moto,bike bus lighttrain taxi,0,0,1,1,1,1,0,bad,bad,neutral,bad,bad,bad,neutral
56_75,retired,female,21.013512,105.828439,21.034876,105.796482,shopping,car,8_10,4.079852642,40,convinient,2,4,2,3,,,,,,,,,,,,private_new,permanent,owner,jam,jam,slow,slow,120,yes,no,car,1,0,0,0,0,0,0,neutral,bad,neutral,bad,neutral,bad,neutral
56_75,retired,female,21.027749,105.843646,21.025837,105.845205,shopping,walk,11_13,0.267176707,5,convinient timesaving,0,4,0,2,,6_10,,,,,neutral,good,good,good,good,private_house,permanent,owner,jam,jam,jam,slow,700,yes,no,ebike bike walk,0,1,1,0,0,0,1,good,good,neutral,good,good,neutral,agree
more_75,retired,female,21.04338,105.865011,21.047296,105.874653,leisure,bike,1_3,1.091266903,7,cost convinient,0,0,0,2,,,,11_15,,,good,good,good,good,good,private_house,permanent,owner,parking,jam,slow,slow,600,yes,no,bike walk,0,0,1,0,0,0,1,verygood,good,neutral,verygood,neutral,neutral,agree
more_75,retired,female,20.983013,105.882277,20.984138,105.888334,shopping,walk,4_7,0.641165398,8,cost convinient,1,4,0,2,,,,11_15,,,neutral,neutral,good,neutral,good,private_house,permanent,owner,cost,jam,jam,slow,300,yes,no,bike walk,0,0,1,0,0,0,1,good,good,neutral,good,neutral,neutral,agree
18_25,student,male,21.024847,105.79525,21.024847,105.79525,education,moto,14_16,0.0,15,cost,more_5,more_5,more_5,0,,more_20,,,,,very_good,very_good,very_good,very_good,very_good,private_house,long_stay,rent,slow,slow,jam,jam,300,yes,moto,car,1,0,0,0,0,0,0,verygood,verygood,neutral,verybad,good,verybad,agree
less_18,student,female,21.070261,105.798672,21.0728,105.796387,education,bike,11_13,0.368672199,10,timesaving,1,2,1,4,1_5,6_10,,more_20,,,good,good,neutral,neutral,good,high_rise,permanent,parent_house,cost,jam,slow,slow,700,no,ebike,car ebike bike taxi walk,1,1,1,0,0,1,1,good,good,good,neutral,good,neutral,disagree
26_35,private,female,21.029248,105.817483,21.029244,105.817469,work,ebike,8_10,0.001519599,15,timesaving,0,1,3,3,1_5,11_15,,,,,good,good,good,good,good,high_rise,permanent,parent_house,jam,cost,unsafe,slow,210,no,moto,ebike,0,1,0,0,0,0,0,good,good,good,good,good,good,strongdisagree
56_75,retired,female,21.013352,105.855683,21.000966,105.864177,visit,car,4_7,1.635321219,30,convinient,3,4,2,3,,,,,,,,,,,,private_house,permanent,owner,jam,jam,slow,slow,305,yes,no,car,1,0,0,0,0,0,0,good,neutral,good,neutral,good,neutral,neutral
56_75,retired,male,20.995003,105.87121,20.994042,105.880823,leisure,moto,4_7,1.003662758,22,other,0,1,3,3,1_5,more_20,1_5,1_5,1_5,1_5,neutral,good,neutral,neutral,neutral,social_house,permanent,owner,cost,unsafe,slow,slow,300,no,no,lighttrain,0,0,0,0,1,0,0,verybad,neutral,neutral,bad,bad,neutral,strongdisagree
less_18,student,female,20.98737,105.878635,20.998408,105.855501,education,ebike,11_13,2.697098342,17,convinient timesaving other,1,3,1,0,,,more_20,,,,,neutral,good,good,neutral,private_house,permanent,parent_house,jam,jam,slow,slow,400,donotcare,moto,car ebike,1,1,0,0,0,0,0,verygood,good,good,neutral,good,neutral,disagree
26_35,fdi,female,21.010684,105.860553,21.016211,105.858459,work,moto,4_7,0.651879726,15,convinient,4,4,more_5,3,,,,,,,,,,,,high_rise,permanent,parent_house,cost,cost,slow,slow,250,yes,car,bike bus lighttrain taxi,0,0,1,1,1,1,0,neutral,bad,neutral,bad,neutral,bad,neutral
36_55,private,male,21.030271,105.81439,21.032394,105.828796,shopping,bike,8_10,1.513687756,12,cost,2,3,3,3,,,,,,,,,,,,old_building,short_stay,owner,jam,jam,jam,jam,2300,donotcare,ebike,lighttrain,0,0,0,0,1,0,0,bad,bad,bad,bad,bad,bad,disagree
56_75,retired,female,21.02991,105.765375,21.027667,105.775022,leisure,bus,8_10,1.031853922,32,convinient,2,2,2,2,,,,,,,,,,,,social_house,long_stay,owner,parking,parking,parking,parking,3000,no,no,ebike taxi,0,1,0,0,0,1,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
18_25,student,female,21.013344,105.852213,21.015072,105.85489,education,walk,14_16,0.337834969,10,convinient,0,more_5,1,3,,more_20,,11_15,1_5,,good,very_good,good,neutral,good,old_building,permanent,parent_house,cost,jam,jam,slow,650,no,no,car ebike taxi,1,1,0,0,0,1,0,verygood,verygood,good,good,good,bad,disagree
56_75,retired,female,21.062654,105.76578,21.064022,105.769151,visit,walk,1_3,0.381437191,7,timesaving,0,4,0,0,,more_20,,,,,neutral,neutral,neutral,good,neutral,private_house,permanent,owner,cost,jam,unsafe,slow,600,no,car,car ebike taxi,1,1,0,0,0,1,0,good,good,neutral,neutral,neutral,neutral,disagree
56_75,retired,female,21.011482,105.783565,21.010596,105.792829,education,bike,11_13,0.96665421,13,timesaving,0,4,1,2,,,,more_20,,,neutral,good,good,neutral,good,private_house,permanent,owner,cost,jam,unsafe,slow,600,yes,no,car ebike bike walk,1,1,1,0,0,0,1,good,good,good,good,neutral,neutral,agree
18_25,student,female,21.036562,105.774951,21.036562,105.775294,work,moto,14_16,0.035597953,60,convinient,4,3,3,3,1_5,16_20,,,11_15,11_15,good,good,good,good,neutral,private_house,permanent,parent_house,unsafe,unsafe,unsafe,unsafe,300,yes,moto,bus lighttrain walk,0,0,0,1,1,0,1,good,good,neutral,neutral,neutral,neutral,neutral
56_75,fdi,male,20.956656,105.766419,20.957545,105.768352,shopping,bike,11_13,0.223743006,34,timesaving,2,2,2,0,,,,,,,,,,,,high_rise,permanent,rent,jam,jam,parking,parking,345,donotcare,moto,bus,0,0,0,1,0,0,0,bad,bad,neutral,neutral,neutral,neutral,neutral
18_25,private,female,20.98551,105.876972,20.86044,105.878637,work,ebike,8_10,13.90824644,60,cost,1,more_5,2,3,,1_5,,,,,neutral,neutral,neutral,neutral,neutral,private_house,long_stay,rent,cost,parking,parking,slow,30,yes,moto,bus,0,0,0,1,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,disagree
36_55,state,female,21.022008,105.826683,21.034543,105.828853,work,car,8_10,1.411909913,30,convinient,more_5,3,3,2,,,,,,,,,,,,high_rise,permanent,owner,jam,jam,slow,slow,200,yes,no,car,1,0,0,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree
36_55,private,male,21.025688,105.832493,21.030983,105.828968,work,car,8_10,0.693190143,25,convinient,more_5,2,4,2,,,,,,,,,,,,high_rise,permanent,owner,parking,jam,slow,slow,350,no,no,car,1,0,0,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,agree
more_75,retired,female,21.028121,105.842541,21.029927,105.846029,shopping,walk,4_7,0.413986177,7,cost convinient,1,4,0,2,,,,6_10,,,neutral,good,good,neutral,good,private_house,permanent,owner,jam,jam,jam,slow,600,yes,no,bike lighttrain walk,0,0,1,0,1,0,1,good,good,neutral,good,neutral,neutral,agree
less_18,student,female,21.05456,105.895658,21.053023,105.891996,education,ebike,11_13,0.416676614,5,convinient timesaving,1,3,1,2,,1_5,16_20,,,,good,good,good,neutral,good,private_house,permanent,parent_house,jam,jam,slow,slow,400,no,moto,car ebike taxi walk,1,1,0,0,0,1,1,verygood,verygood,good,good,good,neutral,disagree
56_75,state,female,20.807785,105.673722,20.808564,105.676384,leisure,ebike,4_7,0.289936435,4,convinient,0,1,2,1,,,,,,,,,,,,high_rise,long_stay,owner,cost,parking,parking,parking,345,donotcare,bike,bike,0,0,1,0,0,0,0,bad,bad,bad,bad,good,neutral,neutral
56_75,fdi,female,21.093854,105.734358,21.094631,105.734788,shopping,bus,4_7,0.097235577,34,convinient,2,2,2,2,,,,,,11_15,,,,,,high_rise,short_stay,rent,jam,jam,jam,jam,345,no,ebike,bike,0,0,1,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,neutral
more_75,retired,female,21.043607,105.875621,21.041046,105.884505,caring,bike,1_3,0.964959041,10,convinient timesaving,0,0,0,2,,,,11_15,,,good,good,good,good,good,private_house,permanent,owner,parking,jam,slow,slow,600,yes,no,bike walk,0,0,1,0,0,0,1,verygood,good,neutral,verygood,neutral,neutral,agree
18_25,student,female,21.00545,105.85947,21.012949,105.857015,education,ebike,14_16,0.871923764,20,convinient timesaving,0,more_5,1,3,,more_20,,11_15,1_5,,good,very_good,good,neutral,good,old_building,permanent,parent_house,cost,jam,jam,slow,650,no,no,car ebike taxi,1,1,0,0,0,1,0,verygood,verygood,good,good,good,bad,disagree
36_55,private,male,21.014489,105.81748,20.813211,105.769157,caring,bus,1_3,22.9370443,61,other,0,2,0,2,,,,,,,,,,,,private_house,long_stay,rent,unsafe,unsafe,slow,slow,365,yes,moto,ebike bike bus lighttrain taxi,0,1,1,1,1,1,0,bad,bad,bad,bad,bad,bad,disagree
18_25,private,female,21.013642,105.840794,21.013145,105.837658,work,moto,4_7,0.330175419,35,cost,4,4,3,2,,,,,,,,,,,,private_house,long_stay,rent,cost,cost,cost,cost,150,no,car,bus,0,0,0,1,0,0,0,good,neutral,good,neutral,good,neutral,disagree
more_75,retired,female,21.055329,105.787727,21.045652,105.791125,shopping,bike,4_7,1.132340948,12,convinient timesaving,0,3,1,2,,,,1_5,,,good,neutral,neutral,good,good,private_house,permanent,owner,jam,jam,jam,slow,400,yes,no,bike walk,0,0,1,0,0,0,1,good,good,neutral,good,neutral,neutral,agree
less_18,student,female,21.027736,105.839628,21.027349,105.839124,education,ebike,4_7,0.067736035,12,convinient timesaving,0,3,1,2,,,more_20,,,,neutral,neutral,good,good,good,private_house,permanent,parent_house,cost,jam,slow,slow,500,no,moto,car ebike,1,1,0,0,0,0,0,good,good,neutral,good,neutral,neutral,disagree
56_75,private,female,20.99374,105.870691,20.989758,105.858924,caring,bike,1_3,1.299364003,17,convinient timesaving,1,4,0,2,,6_10,,16_20,,,neutral,neutral,good,good,good,private_house,permanent,owner,jam,jam,unsafe,slow,800,yes,car,car ebike bike walk,1,1,1,0,0,0,1,verygood,good,good,verygood,neutral,neutral,agree
more_75,retired,female,21.01803,105.837315,21.012559,105.83412,shopping,bike,1_3,0.692871747,12,cost convinient other,0,1,0,2,,1_5,,more_20,,,good,good,neutral,good,good,private_house,permanent,owner,cost,jam,jam,slow,500,yes,no,bike bus walk,0,0,1,1,0,0,1,good,good,good,verygood,neutral,neutral,agree
36_55,state,male,20.97847,105.755596,20.965438,105.780101,visit,moto,4_7,2.928053317,20,other,1,more_5,more_5,more_5,1_5,16_20,,,,,,,,,,private_new,permanent,morgate,cost,unsafe,slow,slow,300,yes,car,car,1,0,0,0,0,0,0,bad,bad,bad,bad,bad,bad,strongagree
less_18,student,female,21.027029,105.855613,21.028858,105.848118,visit,ebike,1_3,0.804052853,12,convinient,1,3,1,3,1_5,,more_20,1_5,,,good,good,neutral,neutral,good,private_house,permanent,parent_house,jam,jam,jam,slow,100,no,moto,car ebike bike taxi,1,1,1,0,0,1,0,good,good,good,neutral,good,neutral,disagree
26_35,private,male,21.083791,105.918044,31.081795,105.918284,work,moto,14_16,1111.729067,30,cost,3,4,3,2,6_10,16_20,16_20,more_20,11_15,11_15,,good,very_good,neutral,neutral,private_house,permanent,owner,jam,jam,jam,cost,2000,no,car,car,1,0,0,0,0,0,0,verygood,verygood,verygood,bad,good,verygood,neutral
18_25,student,male,21.044128,105.773747,21.042755,105.796061,work,moto,4_7,2.320759062,35,other,0,2,more_5,more_5,,,,,,,,,,,,private_house,permanent,parent_house,cost,parking,slow,slow,300,no,moto,taxi,0,0,0,0,0,1,0,neutral,neutral,neutral,neutral,neutral,neutral,agree
26_35,fdi,female,20.853455,105.769466,20.854313,105.76573,education,taxi,8_10,0.399762347,543,cost,1,1,1,2,,,,,,,,,,,,old_building,permanent,parent_house,jam,jam,jam,jam,3456,donotcare,bike,ebike,0,1,0,0,0,0,0,verybad,bad,neutral,neutral,neutral,neutral,neutral
less_18,student,female,21.07701,105.823978,21.073221,105.79653,education,ebike,14_16,2.878924595,13,convinient,1,2,1,4,1_5,6_10,,more_20,,,good,good,neutral,neutral,good,high_rise,permanent,parent_house,cost,jam,slow,slow,700,no,ebike,car ebike bike taxi walk,1,1,1,0,0,1,1,good,good,good,neutral,good,neutral,disagree
36_55,state,female,21.038003,105.826364,21.074279,105.736542,caring,moto,4_7,10.15625348,67,other,1,1,1,3,,more_20,,,,,,,,,,private_new,permanent,parent_house,parking,unsafe,unsafe,unsafe,325,yes,car,lighttrain,0,0,0,0,1,0,0,bad,bad,neutral,neutral,bad,bad,agree
less_18,student,male,20.991489,105.797326,20.992608,105.797026,education,walk,4_7,0.128265893,2,cost convinient,0,0,0,1,,,,,,,neutral,neutral,neutral,neutral,neutral,social_house,long_stay,rent,cost,jam,cost,slow,800,no,moto,car bus,1,0,0,1,0,0,0,neutral,good,good,good,neutral,neutral,disagree
56_75,retired,female,20.988477,105.856667,20.982182,105.856178,shopping,moto,1_3,0.701811801,13,convinient,0,more_5,1,2,,6_10,,1_5,,,good,neutral,neutral,good,neutral,private_house,permanent,owner,parking,jam,slow,slow,800,yes,no,ebike bike walk,0,1,1,0,0,0,1,good,good,neutral,good,neutral,good,agree
