genre,genre_autre,age,diplome,diplome_autre,situation_professionnelle,csp,compo_menage,compo_menage_autre,nb_pers_menage,nb_enfants_menage,nb_enfants_menage_14,date_der_dep_vtc,der_dep_vtc_agglo_res_on,agglo_der_dep,agglo_der_dep_autre,app_der_dep_vtc_on,app_der_dep_vtc,app_der_dep_vtc_autre,prix_estime_trajet_vtc_20min,avis_prix_estime_trajet_vtc_20min,prix_estime_trajet_taxi_20min,avis_prix_estime_trajet_taxi_20min,nb_voitures,nb_voitures_hybride_ou_elec,nb_2rm,nb_velo_meca,nb_velo_elec,nb_trot_meca,nb_trot_elec,permis_conduire_1,permis_conduire_2,temps_marche_bus,temps_marche_tram,temps_marche_metro,temps_marche_gare,abo_tc,velo_trott_lld,vtc_dispo,taxi_dispo,freq_marche,freq_vp_cond,freq_vp_passager,freq_voit_loc,freq_drm_perso,freq_drm_partage,freq_velo_perso,freq_velo_partage,freq_trott_partage,freq_tc,freq_taxi,freq_vtc,freq_maas,motif_der_dep_vtc,motif_der_dep_vtc_autre,prix_der_dep_vtc,duree_der_dep_vtc,quels_modes_de_transport_avez-vous_utili1,quels_modes_de_transport_avez-vous_utili2,quels_modes_de_transport_avez-vous_utili3,quels_modes_de_transport_avez-vous_autre,renoncement_der_dep_vtc,report_modal_der_dep_vtc,report_modal_der_dep_vtc_autre,raison_vtc_der_dep_vtc1,raison_vtc_der_dep_vtc2,raison_vtc_der_dep_vtc3,raison_vtc_der_dep_vtc_autre,raison_non_usage_vtc1,raison_non_usage_vtc2,raison_non_usage_vtc3,raison_non_usage_vtc_autre,raison_non_usage_vtc_depuis_der_dep1,raison_non_usage_vtc_depuis_der_dep2,raison_non_usage_vtc_depuis_der_dep3,raison_non_usage_vtc_depuis_der_de_autre,mauvaise_exp1,mauvaise_exp2,mauvaise_exp3,mauvaise_exp_autre,trajet_domtrav_dometudes,accompagnement_proche,visite_proche,dep_pro,loisir,aeroport,gare_ou_tc,voyage_mode_principal,courses_ou_achats,courses_conventionnees,demarches_admin,raisons_usagevtc_potentiel1,raisons_usagevtc_potentiel2,raisons_usagevtc_potentiel3,raisons_usagevtc_potentiel_autre,services_vtc_potentiels1,services_vtc_potentiels2,services_vtc_potentiels3,services_vtc_potentiels_autre,date_der_dep_taxi,lieu_der_dep_taxi_jamaisvtc,motif_der_dep_taxi_jamaisvtc,motif_der_dep_taxi_jamaisvtc_autre,prix_der_dep_taxi_jamaisvtc,duree_der_dep_taxi_jamaisvtc,motif_der_dep_taxi_pasvtc_res,motif_der_dep_taxi_pasvtc_res_autre,prix_der_dep_taxi_pasvtc_res,duree_der_dep_taxi_pasvtc_res,future_mobilite_envisagee,future_mobilite_envisagee_autre,demotorisation_potentielle,raison_demoto_circulation,raison_demoto_stationnement,raison_demoto_changement,raison_demoto_moyens_financiers,raison_demoto_panne_ou_trop_vieux,raison_demoto_pref_tc,raison_demoto_pref_velo_ou_marche,raison_demoto_pref_taxi_ou_vtc,raison_demoto_pref_mobilite_partagee,demenagement_potentiel,aire_urbaine_demenagement_potentiel,situation_agglo_demenagement_potentiel,situation_agglo_demenagement_poten_autre,tc_destination_demenagement_potentiel,zfe_on,zfe_adaptation1,zfe_adaptation2,zfe_adaptation3,zfe_adaptation_autre,revenus,cat_csp,cat_age,cat_aire_urbaine,poids_redressement
Un homme,,32,"CAP, BEP",,Sans activité professionnelle,,Seul.e avec enfant(s),,2.0,1.0,1.0,Je n'en ai jamais utilisé,,,,,,,50,Elevé,50,Elevé,1,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,1,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,"Oui, permis B",,Entre 5 et 10 minutes,Il n'en existe pas à proximité de mon domicile,Entre 15 et 20 minutes,Entre 10 et 15 minutes,Non,Non,Non,Non,Tous les jours ou presque,Tous les jours ou presque,Jamais,Jamais,,,2 à 3 fois par semaine,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,,,,,,,,,,,,,,,,Je ne connais pas ce service,Le service est trop cher,Je préfère d'autres moyens de transport,,,,,,,,,,Jamais,Souvent,Souvent,Jamais,Souvent,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Service de meilleur rapport qualité/prix par rapport aux taxis,Si aucune autre offre de transport n'est disponible seulement,Service de meilleure qualité par rapport à d'autres moyens de transport,,Déplacement pour raison médicale remboursé par l’assurance maladie,"Aide au déménagement, pour le transport de mes effets personnels",Aucun service supplémentaire,,,,,,,,,,,,Je n'envisage pas de changements particuliers,,Non,,,,,,,,,,Oui,Aire urbaine de 100 000 à 200 000 habitants,En zone périurbaine d'une agglomération,,Moins bien desservie,Je ne sais pas,,,,,Moins de 1 000 €,Inactifs et autres (hors retraités),30-39 ans,Aire urbaine de plus de 200 000 habitants (hors Paris),1.05999545
Un homme,,60,Supérieur à Bac + 5,,Retraité.e,,En couple sans enfant,,,,,Je n'en ai jamais utilisé,,,,,,,50,Elevé,80,Très élevé,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,2,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,"Oui, permis B",,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Entre 10 et 15 minutes,Je ne réside pas dans un lieu pourvu d'un réseau de transports en commun,Non,Je ne sais pas,Je ne sais pas,Tous les jours ou presque,,Moins d'une fois par mois,Moins d'une fois par mois,,,2 à 3 fois par semaine,Jamais,Jamais,Jamais,Jamais,Jamais,1 fois par semaine,,,,,,,,,,,,,,,,Le service n’est pas disponible dans les lieux que je fréquente ou que j'ai fréquentés,Je ne connais pas ce service,Je préfère d'autres moyens de transport,,,,,,,,,,Exceptionnellement,Souvent,Exceptionnellement,Jamais,Souvent,Exceptionnellement,Exceptionnellement,Souvent,Jamais,Exceptionnellement,Exceptionnellement,Service de meilleur rapport qualité/prix par rapport aux taxis,Service de meilleure qualité par rapport à d'autres moyens de transport,Si aucune autre offre de transport n'est disponible seulement,,Déplacement pour raison médicale remboursé par l’assurance maladie,,,,,,,,,,,,,,Je n'envisage pas de changements particuliers,,,,,,,,,,,,Non,,,,,Non,,,,,Je ne souhaite pas répondre,Retraités,60 ans et plus,Aire urbaine entre 100 000 et 200 000 habitants,0.870503917
Une femme,,35,Baccalauréat,,Sans activité professionnelle,,En couple avec enfant(s),,4.0,2.0,2.0,Je n'en ai jamais utilisé,,,,,,,50,Elevé,70,Très élevé,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,3 ou plus,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,"Oui, permis B",,Entre 10 et 15 minutes,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Plus de 20 minutes,Non,Non,Je ne sais pas,Je ne sais pas,1 fois par semaine,,Jamais,Jamais,,,Tous les jours ou presque,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,,,,,,,,,,,,,,,,Je préfère d'autres moyens de transport,,,,,,,,,,,,Jamais,Souvent,Jamais,Jamais,Jamais,Jamais,A chaque fois,A chaque fois,Jamais,Exceptionnellement,Jamais,Ça me permet de me déplacer facilement avec des proches,,,,Déplacement pour raison médicale remboursé par l’assurance maladie,,,,,,,,,,,,,,J'utiliserai davantage le vélo ou marcherai plus,,,,,,,,,,,,Non,,,,,Non,,,,,De 2 000 € à 3 000 €,Inactifs et autres (hors retraités),30-39 ans,Aire urbaine de moins de 100 000 habitants,0.919793855
Une femme,,42,Bac + 5 (Master),,Actif.ve à temps plein (+32 h / semaine),"Cadre, Profession intellectuelle supérieure",Seul.e avec enfant(s),,2.0,1.0,1.0,Il y a plus de 12 mois,Non,Agglomération parisienne,,Je ne sais plus,,,20,Adéquat,30,Adéquat,1,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,2,Mon ménage ne possède pas ce type de véhicule,1,1,"Oui, permis B",,Moins de 5 minutes,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Plus de 20 minutes,Oui,Non,Je ne sais pas,Oui,2 à 3 fois par mois,2 à 3 fois par semaine,2 à 3 fois par mois,Jamais,,,Moins d'une fois par mois,Jamais,Jamais,Tous les jours ou presque,Jamais,Jamais,Tous les jours ou presque,Je ne sais plus,,Plus de 35 €,Plus de 30 minutes,Aucun,,,,Oui,Un taxi,,C'était plus rapide,C'était moins cher,"C'était plus sécurisant (agressions, vols, etc.)",,,,,,Le service est trop cher,Je préfère d’autres moyens de transport,Autre,pas nécessaire. je me débrouille pour prendre les transports en communs ou un transport perso,,,,,Jamais,Jamais,Jamais,Exceptionnellement,Jamais,Souvent,Jamais,Exceptionnellement,Jamais,Exceptionnellement,Jamais,Service de meilleur rapport qualité/prix par rapport aux taxis,Si aucune autre offre de transport n'est disponible seulement,,,Equipement en sièges pour enfants,Embarquement d’un vélo ou d’un autre équipement encombrant,,,,,,,,,,,,,Je n'envisage pas de changements particuliers,,Non,,,,,,,,,,Non,,,,,Oui,J’utiliserai davantage les transports en commun,,,,De 4 000 à 5 000 €,"Cadre, Profession intellectuelle supérieure",40-49 ans,Aire urbaine de Paris,0.766243219
Une femme,,22,"Bac +2 (BTS, DUT)",,Etudiant.e,,Autre,Chez parents,5.0,1.0,0.0,Je n'en ai jamais utilisé,,,,,,,50,Elevé,40,Elevé,1,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,1,"Oui, permis B",,Moins de 5 minutes,Moins de 5 minutes,Il n'en existe pas à proximité de mon domicile,Entre 10 et 15 minutes,Non,Non,Je ne sais pas,Oui,Tous les jours ou presque,2 à 3 fois par semaine,Moins d'une fois par mois,Jamais,,,,Jamais,Jamais,Moins d'une fois par mois,Jamais,Jamais,2 à 3 fois par mois,,,,,,,,,,,,,,,,Je préfère d'autres moyens de transport,Le service n’est pas disponible dans les lieux que je fréquente ou que j'ai fréquentés,Le service est trop cher,,,,,,,,,,Exceptionnellement,Exceptionnellement,Exceptionnellement,Exceptionnellement,Exceptionnellement,Exceptionnellement,Exceptionnellement,Jamais,Jamais,Jamais,Jamais,Si aucune autre offre de transport n'est disponible seulement,Ça me permet de me déplacer facilement avec des proches,Service de meilleur rapport qualité/prix par rapport aux taxis,,Déplacement pour raison médicale remboursé par l’assurance maladie,Transport de personnes à mobilité réduite (PMR) ou en situation de handicap,"Aide au déménagement, pour le transport de mes effets personnels",,,,,,,,,,,,J'utiliserai davantage les transports en commun,,Non,,,,,,,,,,Oui,Aire urbaine de 100 000 à 200 000 habitants,En première couronne d'une agglomération,,Mieux desservie,Oui,J’utiliserai davantage les transports en commun,,,,De 5 000 € à 6 000 €,Inactifs et autres (hors retraités),18-29 ans,Aire urbaine de moins de 100 000 habitants,1.049357638
Un homme,,27,Bac + 3 (Licence),,Etudiant.e,,Seul.e avec enfant(s),,5.0,2.0,1.0,Il y a plus de 12 mois,Non,Agglomération parisienne,,Oui,Marcel,,30,Faible,50,Elevé,2,1,2,3 ou plus,1,1,1,"Oui, permis B",,Entre 10 et 15 minutes,Entre 5 et 10 minutes,Entre 5 et 10 minutes,Entre 5 et 10 minutes,Oui,Oui,"Oui, tout le temps",Oui,1 fois par semaine,Tous les jours ou presque,1 fois par semaine,1 fois par mois,,,2 à 3 fois par mois,2 à 3 fois par mois,1 fois par semaine,Tous les jours ou presque,1 fois par semaine,1 fois par semaine,1 fois par semaine,"Faire une sortie de loisir ou culturelle (restaurant, boîte de nuit, complexe sportif, musée, plage…)",,Entre 5 et 10 €,Entre 15 et 20 minutes,Un vélo ou une trottinette,,,,Oui,Une voiture de location,,C'était moins cher,,,,,,,,Je préfère d’autres moyens de transport,,,,,,,,A chaque fois,Souvent,A chaque fois,Souvent,Souvent,A chaque fois,Souvent,A chaque fois,Exceptionnellement,Souvent,Souvent,Si aucune autre offre de transport n'est disponible seulement,,,,Embarquement d’un vélo ou d’un autre équipement encombrant,,,,,,,,,,,,,,Je me déplacerai moins,,Oui,Plutôt pas d'accord,Tout à fait d'accord,Tout à fait d'accord,Plutôt d'accord,Plutôt d'accord,Tout à fait d'accord,Plutôt d'accord,Tout à fait d'accord,Plutôt d'accord,Oui,Aire urbaine de plus de 200 000 habitants (hors aire urbaine de Paris),Dans la ville-centre d'une agglomération,,Aussi bien desservie,Non,,,,,Moins de 1 000 €,Inactifs et autres (hors retraités),18-29 ans,Aire urbaine de plus de 200 000 habitants (hors Paris),1.209308277
Un homme,,48,"Bac +2 (BTS, DUT)",,Actif.ve à temps plein (+32 h / semaine),Profession intermédiaire,En couple avec enfant(s),,6.0,4.0,0.0,Je n'en ai jamais utilisé,,,,,,,20,Elevé,25,Elevé,2,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,3 ou plus,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,"Oui, permis B",,Moins de 5 minutes,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Entre 15 et 20 minutes,Non,Non,Je ne sais pas,Je ne sais pas,1 fois par mois,Tous les jours ou presque,2 à 3 fois par mois,Jamais,,,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Moins d'une fois par mois,,,,,,,,,,,,,,,,Le service n’est pas disponible dans les lieux que je fréquente ou que j'ai fréquentés,,,,,,,,,,,,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Autre,,,ma voiture est en panne,Aucun service supplémentaire,,,,,,,,,,,,,,Je n'envisage pas de changements particuliers,,Non,,,,,,,,,,Non,,,,,Non,,,,,De 2 000 € à 3 000 €,Profession intermédiaire,40-49 ans,Aire urbaine de moins de 100 000 habitants,0.87764326
Une femme,,25,Sans diplôme,,Sans activité professionnelle,,Autre,Chez mes parents,3.0,0.0,0.0,Il y a plus de 12 mois,Non,Ailleurs à l'étranger,,Non,,,30,Adéquat,40,Adéquat,1,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Non,,Moins de 5 minutes,Entre 5 et 10 minutes,Il n'en existe pas à proximité de mon domicile,Entre 10 et 15 minutes,Non,Non,Je ne sais pas,Je ne sais pas,Moins d'une fois par mois,,Moins d'une fois par mois,,,,,Jamais,Jamais,Moins d'une fois par mois,Jamais,Jamais,Moins d'une fois par mois,Rejoindre ou quitter une gare/un aéroport/une station de transports en commun,,Je ne sais plus,Plus de 30 minutes,L'avion,,,,Je ne sais pas,,,,,,,,,,,Je préfère d’autres moyens de transport,Le service n’est pas disponible dans les lieux que je fréquente ou que j'ai fréquentés,Le service est trop cher,,,,,,Jamais,Jamais,Exceptionnellement,Jamais,Exceptionnellement,Exceptionnellement,Jamais,Jamais,Jamais,Jamais,Jamais,Si aucune autre offre de transport n'est disponible seulement,,,,Acceptation des animaux à bord,,,,,,,,,,,,,,Je n'envisage pas de changements particuliers,,Je ne sais pas,Ne se prononce pas,Pas d'accord du tout,Pas d'accord du tout,Pas d'accord du tout,Pas d'accord du tout,Pas d'accord du tout,Pas d'accord du tout,Pas d'accord du tout,Pas d'accord du tout,Je ne sais pas,Hors aire urbaine (zones rurales),,,Je ne sais pas,Oui,Je ne serai pas concerné par les restrictions,,,,Je ne souhaite pas répondre,Inactifs et autres (hors retraités),18-29 ans,Aire urbaine de plus de 200 000 habitants (hors Paris),1.020595013
Une femme,,52,Baccalauréat,,Actif.ve à temps plein (+32 h / semaine),Employé.e,En couple avec enfant(s),,5.0,3.0,3.0,Je n'en ai jamais utilisé,,,,,,,20,Elevé,25,Elevé,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,3 ou plus,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,"Oui, permis B",,Moins de 5 minutes,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Entre 10 et 15 minutes,Oui,Non,Je ne sais pas,Oui,2 à 3 fois par semaine,,Jamais,Jamais,,,1 fois par mois,Jamais,Jamais,Tous les jours ou presque,Moins d'une fois par mois,Jamais,2 à 3 fois par semaine,,,,,,,,,,,,,,,,Le service n’est pas disponible dans les lieux que je fréquente ou que j'ai fréquentés,,,,,,,,,,,,Jamais,Jamais,Jamais,Jamais,Jamais,Exceptionnellement,Exceptionnellement,Jamais,Jamais,Jamais,Jamais,Service de meilleur rapport qualité/prix par rapport aux taxis,,,,"Aide au déménagement, pour le transport de mes effets personnels",,,,,,,,,,,,,,Je n'envisage pas de changements particuliers,,,,,,,,,,,,Oui,Aire urbaine de Paris,Dans la ville-centre d'une agglomération,,Mieux desservie,Je ne sais pas,,,,,Je ne souhaite pas répondre,Employé.e,50-59 ans,Aire urbaine de Paris,0.947317507
Un homme,,58,Bac + 5 (Master),,Actif.ve à temps plein (+32 h / semaine),"Cadre, Profession intellectuelle supérieure",En couple avec enfant(s),,4.0,2.0,0.0,Je n'en ai jamais utilisé,,,,,,,10,Adéquat,10,Adéquat,1,1,Mon ménage ne possède pas ce type de véhicule,3 ou plus,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,"Oui, permis B",,Entre 5 et 10 minutes,Plus de 20 minutes,Il n'en existe pas à proximité de mon domicile,Plus de 20 minutes,Non,Non,Je ne sais pas,Oui,2 à 3 fois par semaine,Tous les jours ou presque,1 fois par mois,Jamais,,,1 fois par semaine,Jamais,Jamais,1 fois par mois,Moins d'une fois par mois,Jamais,2 à 3 fois par mois,,,,,,,,,,,,,,,,Je ne connais pas ce service,,,,,,,,,,,,Exceptionnellement,Exceptionnellement,Jamais,Souvent,Jamais,Souvent,Souvent,Jamais,Jamais,Jamais,Jamais,Service de meilleur rapport qualité/prix par rapport aux taxis,,,,Aucun service supplémentaire,,,,,,,,,,,,,,Je n'envisage pas de changements particuliers,,Non,,,,,,,,,,Non,,,,,Je ne sais pas,,,,,De 5 000 € à 6 000 €,"Cadre, Profession intellectuelle supérieure",50-59 ans,Aire urbaine de plus de 200 000 habitants (hors Paris),0.998694854
Une femme,,35,"Bac +2 (BTS, DUT)",,Actif.ve à temps plein (+32 h / semaine),Profession intermédiaire,En couple avec enfant(s),,5.0,3.0,3.0,Je n'en ai jamais utilisé,,,,,,,150,Très élevé,170,Très élevé,1,1,1,3 ou plus,Mon ménage ne possède pas ce type de véhicule,3 ou plus,Mon ménage ne possède pas ce type de véhicule,"Oui, permis A (motos et scooters)","Oui, permis B",Entre 15 et 20 minutes,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Plus de 20 minutes,Non,Non,Je ne sais pas,Je ne sais pas,Jamais,Tous les jours ou presque,2 à 3 fois par semaine,Jamais,Jamais,Jamais,2 à 3 fois par mois,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,,,,,,,,,,,,,,,,Je préfère d'autres moyens de transport,,,,,,,,,,,,Jamais,Exceptionnellement,Exceptionnellement,Jamais,Exceptionnellement,Souvent,Souvent,Jamais,Jamais,Jamais,Jamais,Si aucune autre offre de transport n'est disponible seulement,Service de meilleur rapport qualité/prix par rapport aux taxis,Ça me permet de me déplacer facilement avec des proches,,Equipement en sièges pour enfants,Embarquement d’un vélo ou d’un autre équipement encombrant,,,,,,,,,,,,,Je n'envisage pas de changements particuliers,,Non,,,,,,,,,,Non,,,,,Non,,,,,Je ne souhaite pas répondre,Profession intermédiaire,30-39 ans,Aire urbaine de moins de 100 000 habitants,0.716193896
Un homme,,55,"CAP, BEP",,Actif.ve à temps plein (+32 h / semaine),"Cadre, Profession intellectuelle supérieure",En couple avec enfant(s),,5.0,3.0,1.0,Je n'en ai jamais utilisé,,,,,,,50,Elevé,35,Adéquat,2,1,Mon ménage ne possède pas ce type de véhicule,3 ou plus,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,"Oui, permis A (motos et scooters)","Oui, permis B",Entre 5 et 10 minutes,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Plus de 20 minutes,Je ne réside pas dans un lieu pourvu d'un réseau de transports en commun,Non,Non,Oui,Moins d'une fois par mois,Tous les jours ou presque,Jamais,Jamais,,Jamais,Moins d'une fois par mois,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,,,,,,,,,,,,,,,,Le service n’est pas disponible dans les lieux que je fréquente ou que j'ai fréquentés,C'est trop compliqué à utiliser,,,,,,,,,,,Jamais,Souvent,Jamais,Jamais,Jamais,A chaque fois,A chaque fois,Jamais,Jamais,Souvent,Jamais,Si aucune autre offre de transport n'est disponible seulement,Ça me permet de me déplacer avec mon animal de compagnie,Service de meilleure qualité par rapport à d'autres moyens de transport,,Déplacement pour raison médicale remboursé par l’assurance maladie,Acceptation des animaux à bord,Embarquement d’un vélo ou d’un autre équipement encombrant,,,,,,,,,,,,J'utiliserai davantage une voiture ou un deux-roues motorisé personnel(le),,Non,,,,,,,,,,Non,,,,,Non,,,,,Je ne souhaite pas répondre,"Cadre, Profession intellectuelle supérieure",50-59 ans,Aire urbaine de moins de 100 000 habitants,1.026840284
Une femme,,19,Baccalauréat,,Etudiant.e,,Autre,Parents,3.0,1.0,0.0,Je n'en ai jamais utilisé,,,,,,,35,Elevé,40,Elevé,1,Mon ménage ne possède pas ce type de véhicule,1,1,Mon ménage ne possède pas ce type de véhicule,1,1,"Oui, permis B",,Moins de 5 minutes,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Oui,Non,Non,Non,Tous les jours ou presque,1 fois par mois,2 à 3 fois par semaine,Jamais,,,Moins d'une fois par mois,Jamais,Jamais,2 à 3 fois par semaine,Jamais,Jamais,Tous les jours ou presque,,,,,,,,,,,,,,,,Le service n’est pas disponible dans les lieux que je fréquente ou que j'ai fréquentés,Je préfère d'autres moyens de transport,Je ne connais pas ce service,,,,,,,,,,Souvent,Jamais,Souvent,Souvent,Souvent,Jamais,Souvent,Souvent,Jamais,Jamais,Jamais,Ça me permet de me déplacer facilement avec des proches,,,,Embarquement d’un vélo ou d’un autre équipement encombrant,,,,,,,,,,,,,,J'utiliserai davantage les transports en commun,,Je ne sais pas,Pas d'accord du tout,Pas d'accord du tout,Plutôt pas d'accord,Plutôt d'accord,Plutôt d'accord,Pas d'accord du tout,Plutôt pas d'accord,Pas d'accord du tout,Plutôt pas d'accord,Oui,Aire urbaine de plus de 200 000 habitants (hors aire urbaine de Paris),Dans la ville-centre d'une agglomération,,Mieux desservie,Oui,J'adapterai mon ou mes véhicule(s) ou en changerai,,,,Moins de 1 000 €,Inactifs et autres (hors retraités),18-29 ans,Aire urbaine de plus de 200 000 habitants (hors Paris),1.020595013
Une femme,,60,Baccalauréat,,Actif.ve à temps plein (+32 h / semaine),Agriculteur.ice,En couple sans enfant,,,,,Je n'en ai jamais utilisé,,,,,,,40,Elevé,30,Adéquat,1,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,2,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,"Oui, permis B",,Moins de 5 minutes,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Plus de 20 minutes,Non,Non,Non,Non,Tous les jours ou presque,1 fois par semaine,1 fois par semaine,Jamais,,,Tous les jours ou presque,Jamais,Jamais,Jamais,Jamais,Jamais,Moins d'une fois par mois,,,,,,,,,,,,,,,,Le service n’est pas disponible dans les lieux que je fréquente ou que j'ai fréquentés,Le service est trop cher,,,,,,,,,,,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Autre,,,Par contrainte,Aucun service supplémentaire,,,,,,,,,,,,,,Je n'envisage pas de changements particuliers,,Non,,,,,,,,,,Non,,,,,Non,,,,,De 4 000 à 5 000 €,Agriculteur.ice,60 ans et plus,Aire urbaine entre 100 000 et 200 000 habitants,0.453519215
Une femme,,46,Bac + 4 (Maîtrise),,Actif.ve à temps plein (+32 h / semaine),Employé.e,En couple avec enfant(s),,5.0,3.0,3.0,Je n'en ai jamais utilisé,,,,,,,25,Elevé,45,Très élevé,2,Mon ménage ne possède pas ce type de véhicule,2,3 ou plus,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,Mon ménage ne possède pas ce type de véhicule,"Oui, permis A (motos et scooters)","Oui, permis B",Entre 5 et 10 minutes,Il n'en existe pas à proximité de mon domicile,Il n'en existe pas à proximité de mon domicile,Plus de 20 minutes,Non,Non,Je ne sais pas,Je ne sais pas,Jamais,Tous les jours ou presque,Jamais,Jamais,2 à 3 fois par semaine,Jamais,Moins d'une fois par mois,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,,,,,,,,,,,,,,,,Je préfère d'autres moyens de transport,,,,,,,,,,,,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Jamais,Autre,,,Je n'utiliserai pas ce service,Aucun service supplémentaire,,,,,,,,,,,,,,Je n'envisage pas de changements particuliers,,Oui,Pas d'accord du tout,Pas d'accord du tout,Pas d'accord du tout,Pas d'accord du tout,Tout à fait d'accord,Pas d'accord du tout,Pas d'accord du tout,Pas d'accord du tout,Pas d'accord du tout,Je ne sais pas,Aire urbaine de moins de 100 000 habitants,En zone périurbaine d'une agglomération,,Je ne sais pas,Non,,,,,De 3 000 à 4 000 €,Employé.e,40-49 ans,Aire urbaine de moins de 100 000 habitants,0.842310818
